# a_x,a_y,a_z,omega_x,omega_y,omega_z
-0.2258,-0.0557,9.7830,0.5223,0.5172,0.5311
0.0474,0.1602,9.9525,0.5307,0.5169,0.5184
0.3210,0.0961,9.7822,0.5307,0.5264,0.5450
-0.0015,0.1312,9.8566,0.5319,0.5320,0.5275
0.1716,0.2016,9.6171,0.5191,0.5222,0.5052
0.4540,0.1803,9.8826,0.5185,0.5229,0.5356
0.4627,0.1820,9.8916,0.5282,0.5193,0.5342
0.2869,0.2063,9.7429,0.5153,0.5217,0.5191
0.5791,0.3056,9.8740,0.5110,0.5097,0.5231
0.6200,0.3755,9.8830,0.5218,0.5253,0.5057
0.8809,0.3630,9.8638,0.5250,0.5293,0.5109
0.7184,0.4862,9.7554,0.5073,0.5320,0.4988
0.8360,0.5976,9.8124,0.5128,0.5200,0.5236
0.6640,0.5230,9.7441,0.5195,0.5096,0.5096
0.7062,0.4738,9.7842,0.5136,0.5231,0.5078
0.7922,0.6350,10.1129,0.5112,0.5244,0.5094
0.7015,0.6002,9.7189,0.5110,0.5264,0.5074
1.1538,0.7112,9.8630,0.4931,0.5301,0.4973
1.1279,0.6415,9.7564,0.4959,0.5284,0.4893
0.8317,0.6203,9.9868,0.5041,0.5353,0.4800
1.2179,0.8011,9.7613,0.5318,0.5074,0.4767
1.2821,0.8159,9.7544,0.5100,0.5175,0.4675
1.2933,0.7713,9.8253,0.5098,0.5172,0.4694
1.1519,0.8980,9.7761,0.5204,0.5256,0.4768
1.3480,0.9093,10.0651,0.5049,0.5249,0.4620
1.2366,0.7792,9.8094,0.5091,0.5124,0.4584
1.2756,0.9198,9.8588,0.4889,0.5277,0.4662
1.6107,0.8987,9.9256,0.4876,0.5163,0.4612
1.4873,0.9819,9.8455,0.4940,0.4924,0.4743
1.7207,1.1285,10.0017,0.4999,0.5239,0.4517
1.6123,1.0129,9.8424,0.4876,0.5151,0.4336
1.6534,1.1276,9.7091,0.4905,0.5161,0.4341
1.5511,0.9401,10.0018,0.4735,0.5158,0.4231
1.6595,0.9859,9.7791,0.4800,0.5117,0.4159
1.7440,1.1145,9.8067,0.4848,0.5079,0.4233
1.6052,1.3979,9.7077,0.4711,0.5116,0.4195
1.9004,1.0225,9.6657,0.4681,0.5076,0.4083
1.7918,1.1943,9.9059,0.4654,0.5257,0.4074
1.7983,1.3292,9.8971,0.4849,0.4945,0.4003
1.9522,1.4091,9.7514,0.4579,0.5063,0.3881
1.8355,1.5191,9.7928,0.4737,0.5213,0.3782
1.7539,1.4670,9.8582,0.4639,0.4967,0.3882
2.0569,1.4884,9.7484,0.4496,0.4843,0.3448
2.0576,1.5830,9.7852,0.4394,0.5080,0.3604
2.0153,1.4112,9.6306,0.4543,0.4951,0.3507
1.8748,1.4670,9.6575,0.4379,0.4950,0.3235
2.0682,1.6167,9.8340,0.4243,0.5117,0.3381
1.8631,1.5825,9.7995,0.4449,0.4962,0.3244
1.9130,1.4646,9.7664,0.4371,0.4838,0.2968
1.9367,1.5501,9.7998,0.4408,0.5052,0.3177
2.0260,1.6832,9.8737,0.4183,0.5052,0.3001
2.0963,1.7126,9.7856,0.4269,0.4979,0.2847
1.7035,1.7116,10.0343,0.4171,0.4963,0.3005
1.7974,1.7212,9.9695,0.4290,0.5037,0.2672
1.9265,1.7095,9.8375,0.4142,0.4895,0.2689
2.0406,1.6400,9.7837,0.4128,0.4920,0.2696
2.1117,1.5409,9.8594,0.3952,0.5037,0.2630
1.9033,1.7327,9.9095,0.3951,0.4859,0.2521
2.0051,1.7135,9.8005,0.3974,0.5014,0.2308
2.0238,1.8257,9.9248,0.3816,0.4890,0.2536
1.8589,1.9110,9.9049,0.3873,0.4789,0.2293
1.8545,1.8675,9.9242,0.3691,0.4682,0.2049
1.8601,1.7354,9.7731,0.3707,0.4808,0.1946
1.8936,1.7521,9.7890,0.3592,0.4906,0.1974
1.7969,1.8727,9.8500,0.3748,0.4803,0.1926
1.8344,1.8481,9.8505,0.3538,0.4641,0.1741
1.7434,1.9963,9.9234,0.3401,0.4862,0.1639
1.6361,1.9373,9.6946,0.3403,0.4611,0.1491
1.5024,1.8696,9.7556,0.3406,0.4812,0.1562
1.5931,1.9618,9.9045,0.3490,0.4804,0.1392
1.7282,1.9195,9.6428,0.3295,0.4691,0.1397
1.4243,1.8071,9.7970,0.3188,0.4726,0.1127
1.5300,1.9435,9.8324,0.3248,0.4706,0.1034
1.4910,1.9822,9.8079,0.3300,0.4573,0.1047
1.4822,1.8761,9.8428,0.3106,0.4666,0.0908
1.4036,1.9089,9.8706,0.3046,0.4667,0.0804
1.4230,1.9578,9.7627,0.3024,0.4769,0.0557
1.2226,1.9379,9.9187,0.2947,0.4586,0.0632
1.0861,1.9540,9.8637,0.2714,0.4636,0.0416
1.3485,2.1175,9.9140,0.2784,0.4632,0.0408
1.1000,1.9389,9.9634,0.2874,0.4523,0.0313
1.0100,2.0666,9.7102,0.2930,0.4693,0.0316
1.0067,1.9902,9.7660,0.2746,0.4644,0.0130
1.1752,2.0449,9.9046,0.2510,0.4562,0.0126
0.9955,1.9030,9.8090,0.2490,0.4514,0.0122
0.9865,1.9163,9.6972,0.2460,0.4450,-0.0146
1.1471,1.9908,9.7801,0.2453,0.4428,-0.0165
0.7716,1.9526,9.8359,0.2418,0.4439,-0.0326
0.8859,2.1146,9.6517,0.2287,0.4380,-0.0719
0.6641,1.9515,9.6700,0.2365,0.4416,-0.0510
0.7099,2.0460,9.7273,0.2325,0.4424,-0.0744
0.6067,2.0393,9.8625,0.1884,0.4596,-0.0592
0.4912,1.7202,9.7086,0.2158,0.4592,-0.0783
0.3283,1.7597,9.9756,0.2036,0.4560,-0.0991
0.2484,1.9119,9.7653,0.2205,0.4322,-0.1003
0.2948,1.7682,9.8315,0.2019,0.4493,-0.1181
0.2604,1.8137,9.8464,0.1966,0.4265,-0.1262
0.1450,1.9481,9.8840,0.1898,0.4378,-0.1560
0.1448,2.0541,9.5323,0.1759,0.4347,-0.1517
-0.0039,2.0578,9.8420,0.1677,0.4352,-0.1454
-0.0023,1.9738,9.8653,0.1705,0.4285,-0.1566
-0.2290,2.0852,9.7639,0.1696,0.4252,-0.1716
-0.0778,1.8348,9.7391,0.1529,0.4416,-0.1709
-0.0266,1.7912,9.8641,0.1311,0.4189,-0.1866
-0.2735,1.8854,9.8501,0.1270,0.4057,-0.2031
-0.3418,1.6135,9.6563,0.1368,0.4138,-0.2041
-0.4242,1.8898,9.7937,0.1348,0.4115,-0.2203
-0.2965,1.6888,9.8590,0.1099,0.3835,-0.2341
-0.5083,1.8188,9.7401,0.1218,0.4095,-0.2446
-0.4235,1.7725,9.6919,0.0864,0.4025,-0.2406
-0.6390,1.7475,9.8623,0.1106,0.4177,-0.2478
